"Date","Province","Deaths"
2020-07-14,"NC",15
2020-07-15,"NC",15
2020-07-16,"NC",15
2020-07-17,"NC",15
2020-07-18,"NC",15
2020-07-19,"NC",15
2020-07-20,"NC",15
2020-07-21,"NC",15
2020-07-22,"NC",15
2020-07-23,"NC",23
2020-07-24,"NC",23
2020-07-25,"NC",27
2020-07-26,"NC",29
2020-07-27,"NC",29
2020-07-28,"NC",29
2020-07-29,"NC",29
2020-07-30,"NC",29
2020-07-31,"NC",29
2020-08-01,"NC",36
2020-08-02,"NC",36
2020-08-03,"NC",36
2020-08-04,"NC",36
2020-08-05,"NC",36
2020-03-27,"NW",0
2020-03-28,"NW",0
2020-03-30,"NW",0
2020-03-31,"NW",0
2020-04-03,"NW",0
2020-04-05,"NW",0
2020-04-06,"NW",0
2020-04-07,"NW",0
2020-04-08,"NW",0
2020-04-09,"NW",0
2020-04-10,"NW",0
2020-04-11,"NW",0
2020-04-12,"NW",0
2020-04-13,"NW",0
2020-04-14,"NW",0
2020-04-15,"NW",0
2020-04-16,"NW",0
2020-04-17,"NW",0
2020-04-18,"NW",0
2020-04-19,"NW",0
2020-04-20,"NW",0
2020-04-21,"NW",0
2020-04-22,"NW",0
2020-04-23,"NW",0
2020-04-24,"NW",0
2020-04-25,"NW",0
2020-04-26,"NW",0
2020-04-27,"NW",0
2020-04-28,"NW",0
2020-04-29,"NW",0
2020-04-30,"NW",0
2020-05-01,"NW",0
2020-05-02,"NW",0
2020-05-03,"NW",0
2020-05-04,"NW",0
2020-05-05,"NW",0
2020-05-06,"NW",0
2020-05-07,"NW",0
2020-05-08,"NW",0
2020-05-09,"NW",0
2020-05-10,"NW",0
2020-05-11,"NW",1
2020-05-12,"NW",1
2020-05-13,"NW",1
2020-05-14,"NW",1
2020-05-15,"NW",1
2020-05-16,"NW",1
2020-05-17,"NW",1
2020-05-18,"NW",1
2020-05-19,"NW",1
2020-05-20,"NW",1
2020-05-21,"NW",1
2020-05-22,"NW",1
2020-05-23,"NW",1
2020-05-24,"NW",1
2020-05-25,"NW",1
2020-05-26,"NW",1
2020-05-27,"NW",1
2020-05-28,"NW",1
